Loan_Amount_Term,Credit_History,LoanAmount_log,TotalIncome_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
480.0,1.0,4.189654742026425,8.374015421739909,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,1.0,4.653960350157523,8.254268770090183,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,0.0,4.653960350157523,8.59489469908009,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.653960350157523,8.37516869138682,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,0.0,4.8283137373023015,8.353025845202325,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,N
360.0,1.0,4.1588830833596715,7.653020413804189,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,Y
180.0,0.0,5.0106352940962555,8.753213480544126,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,5.0106352940962555,8.8771028978649,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,Y
360.0,1.0,4.91362938638163,9.210340371976184,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.1588830833596715,8.279697133877628,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,Y
180.0,1.0,3.6888794541139363,7.981049759665957,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
480.0,0.0,4.955827057601261,8.210396255104774,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,N
300.0,1.0,4.248495242049359,8.259199362666282,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.875197323201151,8.301025253838453,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.787491742782046,8.524168805152662,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.736198448394496,8.576216531865699,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,4.812184355372417,7.957877358489813,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,N
360.0,1.0,4.5217885770490405,8.251403065380556,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.075173815233827,8.938662873666118,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.017279836814924,8.814627555310697,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.394449154672439,8.769196271411001,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.14166355650266,8.596189197642735,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,Y
360.0,1.0,4.700480365792417,8.418918622147897,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.605170185988092,8.332067707289548,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.455321115357702,9.843737548130354,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.214935757608986,8.32239411311117,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.927253685157205,8.837390855544697,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
480.0,0.0,4.718498871295094,8.563122123304638,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,N
360.0,1.0,4.762173934797756,8.913146539151807,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,N
360.0,0.0,3.8918202981106265,8.792245847467877,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,N
360.0,1.0,4.59511985013459,8.162801353492073,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.59511985013459,8.313607139317558,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,Y
360.0,1.0,5.356586274672012,8.888618807300878,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,5.480638923341991,10.118477957093951,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,0.0,4.867534450455582,8.717190933223135,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,N
360.0,0.0,4.543294782270004,8.160518247477505,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.68213122712422,8.35936910622267,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,Y
360.0,1.0,4.969813299576001,8.779557455883728,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
180.0,1.0,4.700480365792417,8.660254034256889,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,0.0,5.170483995038151,8.421562960400987,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,N
360.0,1.0,5.220355825078324,10.280793212183719,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.804021044733257,8.348301054933943,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.836281906951478,8.517193191416238,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.90527477843843,8.61794309451638,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.804021044733257,9.104979856318357,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,1.0,6.131226489483141,9.983499490505512,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.6937321388027,9.07680897935166,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.941642422609304,8.494333897270154,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,1.0,4.663439094112067,8.751316246773456,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.948759890378168,8.513787398281405,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.91362938638163,9.420033875565988,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.135798437050262,8.64241515616962,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.976733742420574,8.699348067653093,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.499809670330265,8.092851027538384,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,0.0,4.477336814478207,8.352554369474591,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,N
360.0,1.0,4.852030263919617,8.379539026117442,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,Y
480.0,1.0,4.430816798843313,7.888334500738654,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.68213122712422,8.776167099731275,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.418840607796598,8.244859395911256,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,1.0,4.762173934797756,8.22389538017882,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,Y
360.0,1.0,4.852030263919617,8.323608442343572,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.31748811353631,8.922658299524402,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,Y
360.0,0.0,4.8283137373023015,8.748304912379623,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,N
360.0,1.0,5.176149732573829,9.614938437644996,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,4.219507705176107,7.899153483343097,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,Y
360.0,1.0,4.564348191467836,8.101677747454572,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.19295685089021,8.246958032568177,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.209486152841421,8.922658299524402,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,Y
360.0,1.0,4.795790545596741,8.258163361537619,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,Y
360.0,1.0,5.087596335232384,8.82834762005316,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.882801922586371,9.036938912556787,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.990432586778736,8.57810012631976,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,5.030437921392435,8.940891067785461,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,N
84.0,1.0,4.6443908991413725,8.336630087637147,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.003946305945459,8.517193191416238,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
300.0,1.0,4.897839799950911,8.23403420769204,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
180.0,1.0,5.10594547390058,9.075436609511382,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.787491742782046,8.36240897761537,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,0.0,4.204692619390966,8.433811582477187,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,N
360.0,1.0,4.8283137373023015,8.469682208745185,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,1.0,4.787491742782046,8.669227347271736,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.997212273764115,8.344980368770571,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.198497031265826,8.134174272137903,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,Y
120.0,1.0,4.382026634673881,8.131530710604252,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,1.0,3.6888794541139363,9.95227771670556,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.499809670330265,8.581669210600602,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
6.0,0.0,4.553876891600541,8.57376254290413,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.804021044733257,8.076515327552329,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.0106352940962555,8.655388690167637,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.0106352940962555,9.032289682032873,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,Y
360.0,1.0,4.6443908991413725,8.54830418644129,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.962844630259907,8.614138397472717,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.703782474656201,9.179778066393542,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,1.0,5.14166355650266,8.754318540250866,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,4.727387818712341,8.457230850243555,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,3.5553480614894135,8.151044945685024,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,3.828641396489095,7.783224016336037,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.976733742420574,8.520188700396035,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,4.77912349311153,8.25582842728183,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
240.0,1.0,4.465908118654584,8.65084957622891,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,Y
360.0,0.0,5.087596335232384,8.804775258867686,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,N
180.0,1.0,4.804021044733257,8.916506080039204,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,Y
360.0,1.0,5.231108616854587,9.017604776833355,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,Y
180.0,1.0,4.394449154672439,8.166784289056151,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,Y
360.0,1.0,4.382026634673881,8.45531778769815,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.170483995038151,8.833171133022866,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.560681631015528,9.0280988119824,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,0.0,4.890349128221754,8.58615939588096,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,N
360.0,1.0,4.248495242049359,7.961370201719511,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,4.90527477843843,8.47595444339964,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,Y
300.0,1.0,4.919980925828125,7.935945103353701,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,5.537334267018537,9.067277989134345,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.663439094112067,9.757478638400492,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.6913478822291435,8.813884558025606,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.787491742782046,9.092457331319466,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
180.0,0.0,5.062595033026967,8.613048677059759,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,N
360.0,1.0,5.2832037287379885,9.084323531392696,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,1.0,4.442651256490317,8.652947112393857,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.0943445622221,7.824046010856292,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.330733340286331,8.049427057110695,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,Y
360.0,1.0,5.0238805208462765,8.80492526261806,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.564348191467836,9.457590998633625,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.59511985013459,8.397508348470257,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.727387818712341,8.66319648553608,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,Y
360.0,1.0,4.74493212836325,8.490233009833455,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.836281906951478,8.564649132572534,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.062595033026967,8.9082888855571,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
180.0,1.0,4.584967478670572,9.126958763037132,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,Y
